nimi_fi,nimi_en,kuvaus,saanto,lahde
Saatavuusheuristiikka,Availability heuristic,"Arvioidaan tapahtuman todennäköisyyttä sen muistettavuuden tai emotionaalisen latauksen perusteella, ei todellisten frekvenssien.",EN arvioi todennäköisyyttä muistettavuuden perusteella; HAE evidenssiä perusfrekvenssistä.,https://en.wikipedia.org/wiki/Availability_heuristic
Edustavuusheuristiikka,Representativeness heuristic,Arvioidaan tapahtuman todennäköisyyttä sen stereotyyppisyyden tai tyypillisyyden perusteella.,EN arvioi stereotyyppisyyden perusteella; KÄYTÄ perusjakaumaa ja Bayesia.,https://en.wikipedia.org/wiki/Representativeness_heuristic
Ankkurointi ja säätö -heuristiikka,Anchoring and adjustment heuristic,Annetaan satunnaiselle tai kontekstuaaliselle ankkurille liiallinen paino myöhemmissä arvioissa.,EN perusta arvioita satunnaiseen ankkuriin; LASKE arvio perusfrekvensseistä lähtien.,https://en.wikipedia.org/wiki/Anchoring_(cognitive_bias)
Simulaatioheuristiikka,Simulation heuristic,"Arvioidaan todennäköisyyttä sen perusteella, kuinka helposti tai elävästi tapahtuman voi kuvitella.",EN arvioi kuviteltavuuden perusteella; NOJAUDU havaittuihin frekvensseihin ja skenaarioanalyysiin.,https://en.wikipedia.org/wiki/Simulation_heuristic
Nyrkkisääntö / oikopolku,Rule-of-thumb heuristic,Lopetetaan analyysi yksinkertaiseen nyrkkisääntöön ilman tarkistusta.,EN lopeta nyrkkisääntöön; KÄYTÄ sitä likiarvona ja tarkenna mallinnuksella.,https://en.wikipedia.org/wiki/Heuristic
Yritys ja erehdys -heuristiikka,Trial-and-error heuristic,Nojataan pelkästään iteratiiviseen yritykseen löytää ratkaisu ilman hypoteesijoukkoa.,EN nojaudu pelkkään yritys–erehdys-hakuun; MUODOSTA eksplisiittinen hypoteesejoukko ja päivitä Bayesin mukaan.,https://en.wikipedia.org/wiki/Trial_and_error
Sujuvuusheuristiikka,Fluency heuristic,Arvioidaan väitteen uskottavuutta sen kielellisen sujuvuuden perusteella.,EN arvioi uskottavuutta sujuvuuden perusteella; ARVIOI sisältö itsenäisesti.,https://en.wikipedia.org/wiki/Processing_fluency
Konjunktioharha,Conjunction fallacy,"Pidetään spesifistä kuvausta yleistä kuvausta todennäköisempänä, vaikka konjunktio ei voi olla todennäköisempi kuin yksittäinen tapahtuma.",EN pidä spesifistä kuvausta todennäköisempänä kuin yleistä; P(A∧B)≤P(A).,https://en.wikipedia.org/wiki/Conjunction_fallacy
Ankkurointiharha,Anchoring bias,Annetaan ensimmäiselle saadulle lukemalle tai tiedolle ylisuurta painoa jatkopäättelyssä.,EN anna ensimmäiselle tiedolle ylisuurta painoa jatkopäättelyssä.,https://en.wikipedia.org/wiki/Anchoring_(cognitive_bias)
Perustaajuuden laiminlyönti,Base rate fallacy,Korvataan yleinen perustaajuustieto tapauskohtaisella tiedolla.,OTA perustaajuus huomioon; ÄLÄ korvaa sitä pelkällä tapauskohtaisella tiedolla.,https://en.wikipedia.org/wiki/Base_rate_fallacy
